epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.653,1.34742,1.92464,2.59223,0.76617,0.58564,0.69123,0.49841,1.36964,1.66089,2.83366,0.00332979,0.00332979,0.00332979
2,896.157,1.24329,1.69194,2.49666,0.75379,0.63136,0.7465,0.53352,1.25506,1.33599,2.76825,0.00659716,0.00659716,0.00659716
3,1333.32,1.25721,1.69405,2.51244,0.53849,0.55263,0.55539,0.35769,1.54222,1.69291,3.17465,0.00979852,0.00979852,0.00979852
4,1765.77,1.27289,1.74141,2.54107,0.76922,0.67932,0.77132,0.50701,1.24905,1.20657,2.72729,0.009703,0.009703,0.009703
5,2201.16,1.23152,1.67785,2.50124,0.74432,0.6307,0.74542,0.491,1.23231,1.20094,2.80286,0.009604,0.009604,0.009604
6,2635.07,1.20074,1.61689,2.47479,0.70452,0.74209,0.79893,0.55224,1.12156,1.07499,2.76573,0.009505,0.009505,0.009505
7,3069.31,1.17131,1.58371,2.45862,0.70454,0.67572,0.74395,0.52581,1.09474,1.17528,2.67915,0.009406,0.009406,0.009406
8,3502.6,1.147,1.53185,2.4355,0.79361,0.70788,0.8029,0.57285,1.07579,1.03593,2.76896,0.009307,0.009307,0.009307
9,3938.52,1.13075,1.50751,2.41621,0.84109,0.6459,0.81812,0.56471,1.09957,0.98505,2.77518,0.009208,0.009208,0.009208
10,4373.1,1.11627,1.47896,2.41478,0.77899,0.75357,0.82316,0.58404,1.00092,0.95067,2.6312,0.009109,0.009109,0.009109
11,4807.97,1.10635,1.46345,2.39907,0.78001,0.75067,0.82369,0.58219,1.03065,0.96392,2.78132,0.00901,0.00901,0.00901
12,5241.55,1.08654,1.44544,2.39263,0.82505,0.72873,0.82916,0.59441,1.02534,0.96343,2.7102,0.008911,0.008911,0.008911
13,5675.29,1.07547,1.41277,2.37011,0.81182,0.74806,0.85142,0.61909,0.97449,0.88264,2.71131,0.008812,0.008812,0.008812
14,6110.15,1.06735,1.39763,2.36513,0.79641,0.77183,0.84304,0.62393,0.96845,0.90968,2.74419,0.008713,0.008713,0.008713
15,6542.15,1.05576,1.3677,2.3446,0.8313,0.78665,0.86232,0.63826,0.93665,0.82601,2.72618,0.008614,0.008614,0.008614
16,6977.2,1.04412,1.36866,2.35223,0.78591,0.76683,0.85448,0.63442,0.93042,0.85598,2.68076,0.008515,0.008515,0.008515
17,7408.92,1.03443,1.34661,2.33539,0.82116,0.76459,0.87561,0.64803,0.91715,0.79884,2.71583,0.008416,0.008416,0.008416
18,7844.82,1.02389,1.32842,2.326,0.80899,0.82436,0.87177,0.64704,0.89232,0.76789,2.63278,0.008317,0.008317,0.008317
19,8277.26,1.02225,1.31957,2.32952,0.82747,0.80315,0.87867,0.64341,0.91722,0.76981,2.69561,0.008218,0.008218,0.008218
20,8713.56,1.0178,1.30871,2.31779,0.87249,0.80932,0.89484,0.67502,0.87809,0.71752,2.63135,0.008119,0.008119,0.008119
21,9148.08,1.00869,1.29304,2.30515,0.84595,0.82521,0.89632,0.67694,0.87725,0.71974,2.63652,0.00802,0.00802,0.00802
22,9582.86,1.0046,1.28991,2.30474,0.86742,0.81106,0.8956,0.67133,0.87837,0.71934,2.6733,0.007921,0.007921,0.007921
23,10016.5,0.99405,1.28003,2.30438,0.86639,0.7843,0.88824,0.67062,0.86506,0.7245,2.65696,0.007822,0.007822,0.007822
24,10451.3,0.99124,1.26706,2.2948,0.84,0.81747,0.90583,0.68844,0.83975,0.68219,2.6341,0.007723,0.007723,0.007723
25,10885.7,0.98462,1.25494,2.29041,0.86705,0.83355,0.90701,0.6974,0.83892,0.67603,2.58803,0.007624,0.007624,0.007624
26,11319.3,0.97687,1.24446,2.27852,0.87544,0.84033,0.90972,0.70051,0.84004,0.66531,2.5837,0.007525,0.007525,0.007525
27,11754.6,0.96747,1.23514,2.26179,0.87922,0.82152,0.91087,0.70286,0.82289,0.64703,2.60587,0.007426,0.007426,0.007426
28,12188.9,0.96658,1.2176,2.26366,0.91215,0.83397,0.91784,0.70906,0.82737,0.63333,2.6524,0.007327,0.007327,0.007327
29,12623,0.96719,1.2346,2.26801,0.89199,0.84308,0.91957,0.71405,0.80417,0.62383,2.58851,0.007228,0.007228,0.007228
30,13057.1,0.95286,1.2107,2.24882,0.87566,0.85187,0.91464,0.71702,0.80474,0.61283,2.6078,0.007129,0.007129,0.007129
31,13493.1,0.95026,1.19658,2.25474,0.88617,0.84421,0.91952,0.71813,0.80469,0.5997,2.62877,0.00703,0.00703,0.00703
32,13927.1,0.95367,1.20363,2.24493,0.90141,0.84341,0.92504,0.71639,0.80689,0.60464,2.63632,0.006931,0.006931,0.006931
33,14362.8,0.94149,1.17472,2.24027,0.87373,0.85723,0.92312,0.72257,0.79538,0.58206,2.60581,0.006832,0.006832,0.006832
34,14796.1,0.93997,1.16815,2.24123,0.88717,0.84835,0.92243,0.72257,0.7919,0.5844,2.62376,0.006733,0.006733,0.006733
35,15232,0.93269,1.17193,2.23652,0.87882,0.86763,0.92618,0.72517,0.78697,0.5751,2.6168,0.006634,0.006634,0.006634
36,15664.7,0.934,1.17248,2.23528,0.90519,0.86769,0.93086,0.7334,0.78341,0.56823,2.60749,0.006535,0.006535,0.006535
37,16100.1,0.92873,1.16345,2.23081,0.90706,0.85861,0.92883,0.73178,0.78129,0.56395,2.63328,0.006436,0.006436,0.006436
38,16533.2,0.92511,1.15346,2.22583,0.90742,0.85816,0.93267,0.73605,0.77282,0.54955,2.61745,0.006337,0.006337,0.006337
39,16968.8,0.91858,1.15073,2.22244,0.89739,0.88099,0.9364,0.73943,0.76934,0.54198,2.6252,0.006238,0.006238,0.006238
40,17400.9,0.91709,1.14254,2.22204,0.90613,0.87701,0.93672,0.74067,0.75986,0.54216,2.62311,0.006139,0.006139,0.006139
41,17836.4,0.91883,1.13648,2.22306,0.9101,0.88127,0.93924,0.73985,0.76559,0.54092,2.64803,0.00604,0.00604,0.00604
42,18270,0.90522,1.12516,2.19877,0.91127,0.88,0.94026,0.74071,0.75799,0.53618,2.637,0.005941,0.005941,0.005941
43,18705.6,0.90477,1.1192,2.21414,0.91273,0.88777,0.94142,0.74178,0.75512,0.52799,2.62017,0.005842,0.005842,0.005842
44,19138.9,0.89983,1.12124,2.19969,0.90529,0.88802,0.94261,0.7476,0.74855,0.52026,2.6217,0.005743,0.005743,0.005743
45,19573.5,0.89705,1.11406,2.19997,0.91338,0.87855,0.944,0.74848,0.74783,0.51866,2.6255,0.005644,0.005644,0.005644
46,20009.1,0.89427,1.09597,2.19417,0.92795,0.8755,0.94621,0.74979,0.7434,0.51344,2.61207,0.005545,0.005545,0.005545
47,20442.8,0.89042,1.09484,2.1888,0.92382,0.88214,0.94652,0.75218,0.74224,0.50908,2.6087,0.005446,0.005446,0.005446
48,20877.9,0.8924,1.09409,2.1918,0.92651,0.88593,0.94636,0.75254,0.73976,0.50472,2.6093,0.005347,0.005347,0.005347
49,21311.6,0.88307,1.08646,2.19382,0.9284,0.88766,0.94798,0.75428,0.73865,0.50159,2.61699,0.005248,0.005248,0.005248
50,21758.6,0.88084,1.08054,2.18955,0.92743,0.88619,0.94853,0.7533,0.73647,0.49682,2.61645,0.005149,0.005149,0.005149
51,22218.4,0.88,1.07464,2.17323,0.93663,0.8828,0.95034,0.75725,0.73372,0.4924,2.61798,0.00505,0.00505,0.00505
52,22676.2,0.87472,1.07459,2.17423,0.92936,0.88844,0.95061,0.75796,0.73208,0.48899,2.62064,0.004951,0.004951,0.004951
53,23135.9,0.87135,1.06007,2.16648,0.92674,0.89381,0.95145,0.75885,0.73099,0.48532,2.61863,0.004852,0.004852,0.004852
54,23594.1,0.87125,1.0648,2.1683,0.92636,0.89678,0.95193,0.75915,0.73071,0.48219,2.62504,0.004753,0.004753,0.004753
55,24053.4,0.86434,1.04868,2.16418,0.92873,0.89725,0.95243,0.75739,0.72914,0.48047,2.62391,0.004654,0.004654,0.004654
56,24507.7,0.86471,1.05255,2.16545,0.92868,0.89711,0.95333,0.75773,0.72598,0.47862,2.62073,0.004555,0.004555,0.004555
57,24965.6,0.85975,1.04505,2.15813,0.93105,0.89319,0.95412,0.75944,0.72275,0.47693,2.62015,0.004456,0.004456,0.004456
58,25425.9,0.85684,1.03722,2.15694,0.93203,0.89293,0.95405,0.75989,0.72056,0.47463,2.62411,0.004357,0.004357,0.004357
59,25881.7,0.85261,1.0333,2.15067,0.93082,0.89441,0.95456,0.76087,0.71944,0.47224,2.62852,0.004258,0.004258,0.004258
60,26335.1,0.85131,1.02774,2.1541,0.93445,0.89146,0.95513,0.76199,0.71739,0.46874,2.62741,0.004159,0.004159,0.004159
61,26793.4,0.85121,1.02613,2.14643,0.92679,0.89639,0.95551,0.76376,0.71519,0.46571,2.62621,0.00406,0.00406,0.00406
62,27249.8,0.84727,1.02505,2.13917,0.93704,0.88852,0.95619,0.76449,0.71363,0.46367,2.63089,0.003961,0.003961,0.003961
63,27706.4,0.83667,1.01447,2.13667,0.92484,0.90219,0.95708,0.76488,0.71197,0.4615,2.63226,0.003862,0.003862,0.003862
64,28148.8,0.84254,1.01932,2.15286,0.92732,0.9003,0.9575,0.76589,0.71049,0.45927,2.63037,0.003763,0.003763,0.003763
65,28583.2,0.83866,1.01024,2.13815,0.94181,0.89032,0.95773,0.76654,0.70902,0.45697,2.62929,0.003664,0.003664,0.003664
66,29015.7,0.82753,1.00012,2.13025,0.9418,0.89435,0.95855,0.76743,0.70761,0.45486,2.62934,0.003565,0.003565,0.003565
67,29449.7,0.82948,0.99286,2.12904,0.94086,0.89661,0.95882,0.76757,0.70654,0.45298,2.6293,0.003466,0.003466,0.003466
